[2026-05-05 14:05:57,767] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for PFC: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:57,810] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for HINDPETRO: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:05:57,853] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for JWL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:05:57,889] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for GPIL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:57,927] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for SBIN: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:57,981] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for GODFRYPHLP: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,061] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for GPPL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,099] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for INOXWIND: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,134] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for NTPC: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,170] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for MARUTI: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,216] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for JSWINFRA: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,267] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for FEDFINA: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:05:58,317] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for INDIAMART: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,367] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for ZENSARTECH: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,405] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for MARKSANS: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,442] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for MRF: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,490] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for MRPL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,545] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for PFIZER: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,583] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for CANBK: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,619] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for ZYDUSLIFE: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:05:58,655] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for GAEL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:05:58,688] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for ASHOKLEY: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,729] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for SUZLON: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:05:58,837] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for TCS: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,884] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for ENGINERSIN: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,920] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for CEMPRO: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,953] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for TARIL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:58,987] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for UNIONBANK: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,031] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for OBEROIRLTY: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,070] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for AXISBANK: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,113] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for POWERGRID: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,158] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for LODHA: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,200] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for WEBELSOLAR: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,248] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for PETRONET: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,285] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for ESCORTS: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,324] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for BANKBEES: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,358] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for LT: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,395] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for ONGC: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,438] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for JKPAPER: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,495] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for PFC: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,570] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for MRPL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,642] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for HINDPETRO: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:05:59,705] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for SCI: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
